Category_Name,Station_Name,Start_Date,End_Date
Discharge,Ban Chot,1975-04-01,2003-12-31
Water Level,Ban Chot,1975-04-01,2003-12-31
Discharge,Ban Don,1991-12-31,2013-05-05
Rainfall,Ban Don,1979-12-31,2023-11-27
Water Level,Ban Don,1992-01-01,2023-11-27
Discharge,Ban Huai Khayuong,1979-04-26,2003-12-31
Water Level,Ban Huai Khayuong,1979-04-01,2003-12-31
Discharge,Ban Huai Yano Mai,1975-04-01,2003-12-31
Water Level,Ban Huai Yano Mai,1975-04-01,2003-12-31
Discharge,Ban Kamphun,1960-01-01,2002-12-31
Water Level,Ban Kamphun,1960-02-05,2008-12-31
Discharge,Ban Kengdone,1960-02-16,2023-10-28
Water Level,Ban Kengdone,1960-02-16,2023-10-28
Discharge,Ban Na Luang,1987-01-01,2005-12-31
Water Level,Ban Na Luang,1986-06-03,2006-12-31
Discharge,Ban Nong Kiang,1975-04-01,2003-12-31
Water Level,Ban Nong Kiang,1975-04-01,2003-12-31
Discharge,Ban Pak Huai,1967-01-01,2007-12-31
Water Level,Ban Pak Huai,1967-04-01,2007-12-31
Discharge,Ban Pak Kanhoung,1963-01-01,2005-12-31
Water Level,Ban Pak Kanhoung,1963-01-01,2023-11-27
Discharge,Ban Tad Ton,1976-05-03,2003-12-28
Water Level,Ban Tad Ton,1976-04-01,2003-12-31
Discharge,Ban Tha Mai Liam,1969-04-01,2003-12-31
Water Level,Ban Tha Mai Liam,1969-01-01,2003-12-31
Discharge,Ban Tha Ton,1969-04-01,2005-12-31
Water Level,Ban Tha Ton,1969-01-01,2005-12-30
Rainfall,Batri,1997-12-31,2006-12-31
Discharge,Battambang,1962-04-03,2002-12-31
Water Level,Battambang,1962-04-01,2012-12-31
Rainfall,Ben Luc,1997-12-31,2006-12-31
Rainfall,Buon Ho,1984-12-31,2023-11-27
Rainfall,Buon Me Thuoc,1927-02-01,2023-11-27
Rainfall,Ca Mau,1980-01-01,2012-12-31
Rainfall,Cai Be,1997-12-31,2006-12-31
Rainfall,Cai Lay,1997-12-31,2006-12-31
Water Level,Cai Lay,1987-01-01,2012-12-31
Discharge,Can Tho,2001-01-01,2007-12-31
Rainfall,Can Tho,1920-01-01,2023-11-27
Water Level,Can Tho,1979-04-01,2023-11-27
Discharge,Cau 14 (Buon Bur),1967-04-02,2006-12-31
Water Level,Cau 14 (Buon Bur),1966-01-01,2012-12-31
Discharge,Chaktomuk,1960-01-01,2002-12-31
Water Level,Chaktomuk,1960-01-01,2023-11-27
Discharge,Chantangoy,1960-02-06,2002-12-31
Water Level,Chantangoy,1960-02-06,2008-12-31
Rainfall,Chau Doc,1920-01-01,2023-11-24
Water Level,Chau Doc,1960-06-29,2023-11-27
Discharge,Chiang Khan,1967-01-01,2023-11-27
Rainfall,Chiang Khan,1965-12-31,2018-12-31
Water Level,Chiang Khan,1965-01-01,2023-11-27
Discharge,Chiang Saen,1960-01-01,2023-11-27
