Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,451305,Water Level,Manual,1992-02-25T00:00Z,37.78,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-02-26T00:00Z,37.78,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-02-27T00:00Z,37.74,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-02-28T00:00Z,37.75,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-02-29T00:00Z,37.78,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-03-01T00:00Z,37.76,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-03-02T00:00Z,37.72,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-03-03T00:00Z,37.72,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-03-04T00:00Z,37.82,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-03-05T00:00Z,37.8,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-03-06T00:00Z,37.76,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-03-07T00:00Z,37.74,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-03-08T00:00Z,37.74,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-03-09T00:00Z,37.72,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-03-10T00:00Z,37.72,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-03-11T00:00Z,37.71,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-03-12T00:00Z,37.72,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-03-13T00:00Z,37.69,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-03-14T00:00Z,37.7,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-03-15T00:00Z,37.67,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-03-16T00:00Z,37.66,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-03-17T00:00Z,37.67,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-03-18T00:00Z,37.69,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-03-19T00:00Z,37.7,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-03-20T00:00Z,37.69,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-03-21T00:00Z,37.71,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-03-22T00:00Z,37.71,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-03-23T00:00Z,37.73,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-03-24T00:00Z,37.68,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-03-25T00:00Z,37.68,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-03-26T00:00Z,37.7,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-03-27T00:00Z,37.68,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-03-28T00:00Z,37.7,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-03-29T00:00Z,37.68,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-03-30T00:00Z,37.69,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-03-31T00:00Z,37.68,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-04-01T00:00Z,37.7,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-04-02T00:00Z,37.67,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-04-03T00:00Z,37.7,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-04-04T00:00Z,37.7,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-04-05T00:00Z,37.68,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-04-06T00:00Z,37.7,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-04-07T00:00Z,37.74,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-04-08T00:00Z,37.76,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-04-09T00:00Z,37.72,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-04-10T00:00Z,37.76,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-04-11T00:00Z,37.74,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-04-12T00:00Z,37.84,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-04-13T00:00Z,37.85,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-04-14T00:00Z,37.92,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-04-15T00:00Z,37.96,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-04-16T00:00Z,37.95,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-04-17T00:00Z,37.93,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-04-18T00:00Z,38.04,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-04-19T00:00Z,38.02,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-04-20T00:00Z,38.04,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-04-21T00:00Z,38.07,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-04-22T00:00Z,38.06,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-04-23T00:00Z,38.05,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-04-24T00:00Z,38.05,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-04-25T00:00Z,38.02,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-04-26T00:00Z,38.01,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-04-27T00:00Z,37.95,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-04-28T00:00Z,37.88,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-04-29T00:00Z,37.78,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-04-30T00:00Z,37.75,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-05-01T00:00Z,37.73,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-05-02T00:00Z,37.75,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-05-03T00:00Z,37.78,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-05-04T00:00Z,37.88,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-05-05T00:00Z,37.79,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-05-06T00:00Z,37.78,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-05-07T00:00Z,37.8,m,O,Raw - Not Yet Reviewed,Unverified data
VN,451305,Water Level,Manual,1992-05-08T00:00Z,37.88,m,O,Raw - Not Yet Reviewed,Unverified data
