Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
CN,092600,Water Level,Telemetry,2010-08-01T02:30Z,536.86,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T02:45Z,536.89,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T03:00Z,536.92,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T03:15Z,536.96,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T03:30Z,536.97,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T03:45Z,536.97,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T04:00Z,536.99,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T04:15Z,537.01,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T04:30Z,537.02,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T04:45Z,537.04,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T05:00Z,537.06,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T05:15Z,537.08,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T05:30Z,537.1,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T05:45Z,537.12,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T06:00Z,537.14,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T06:15Z,537.15,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T06:30Z,537.17,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T06:45Z,537.19,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T07:00Z,537.21,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T07:15Z,537.21,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T07:30Z,537.24,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T07:45Z,537.25,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T08:00Z,537.26,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T08:15Z,537.27,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T08:30Z,537.28,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T08:45Z,537.3,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T09:00Z,537.32,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T09:15Z,537.33,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T09:30Z,537.35,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T09:45Z,537.36,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T10:00Z,537.36,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T10:15Z,537.39,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T10:30Z,537.4,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T10:45Z,537.41,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T11:00Z,537.42,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T11:15Z,537.43,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T11:30Z,537.44,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T11:45Z,537.45,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T12:00Z,537.45,m,O,Raw - Not Yet Reviewed,Unverified data
CN,092600,Water Level,Telemetry,2010-08-01T12:15Z,537.46,m,O,Raw - Not Yet Reviewed,Unverified data
